series,episode,baker_name,technical,result,signature_bake,show_stopper,baker_age,hometown,baker_occupation
5,2,Richard Burr,1,STAR BAKER,Rosemary Seeded Crackers,Pirates!,38,"Mill Hill, London",Builder
5,2,Nancy Birtwhistle,2,IN,Fennel and Rye Thins,Hansel and Gretel Scene,60,"Barton-upon-Humber, Lincolnshire",Retired Practice Manager
5,2,Luis Troyano,3,IN,Black Olive and Rosemary Biscuits with Caramelised Onion Glaze,George Versus The Dragon,42,"Poynton, Cheshire",Graphic Designer
5,2,Kate Henry,4,IN,Parmesan and Apple Biscuits,Tea Time,41,"Brighton, East Sussex",Furniture Restorer
5,2,Martha Collison,5,IN,Caramelised Onion and Goat's Cheese Sandwich Biscuits,Ski Village Scene,17,"Ascot, Berkshire",Student
5,2,Jordan Cox,6,IN,"Sourdough, Parmesan and Chilli Biscuits",Monster Attack,32,"Sneinton, Nottingham",IT Manager
5,2,Diana Beard,7,IN,Parmesan Triangles,"Express, First Class",69,"Alkington, Shropshire",Women's Institute (WI) Judge
5,2,Chetna Makan,8,IN,Fenugreek and Carom Crackers,Day On The Beach,35,"Broadstairs, Kent",Fashion Designer
5,2,Enwezor Nzegwu,9,OUT,Pumpkin and Sunflower Savoury Biscuits,Space Adventure Moon Scene,39,"Portsmouth, Hampshire",Business Consultant
5,2,Norman Calder,10,IN,Farthing Biscuits,Zulu Boats at Dawn,66,"Portknockie, Moray",Retired Naval Officer
5,2,Iain Watters,11,IN,Za'atar and Fig Biscuits,Wild West Scene,31,London/Belfast,Construction Engineer
5,2,Claire Goodwin,NA,NA,NA,NA,31,"Ashton upon Mersey, Trafford",Speech Therapist
5,3,Kate Henry,1,IN,Orange and Cardamom Rye Bread Knots,"Prosciutto, Olive and Coriander Bread",41,"Brighton, East Sussex",Furniture Restorer
5,3,Luis Troyano,2,STAR BAKER,Opposites Attract Rolls,Roscón de Reyes,42,"Poynton, Cheshire",Graphic Designer
5,3,Martha Collison,3,IN,Date and Walnut Rye Rolls,Stuffed Sunflower Loaf,17,"Ascot, Berkshire",Student
5,3,Norman Calder,4,IN,Rye Bread Rolls,Chicken and Roasted Vegetable Picnic Loaf,66,"Portknockie, Moray",Retired Naval Officer
5,3,Nancy Birtwhistle,5,IN,Cider and Walnut Crusty Rolls,'Full English' Stromboli,60,"Barton-upon-Humber, Lincolnshire",Retired Practice Manager
5,3,Richard Burr,6,IN,Rye and Cranberry Rolls,Pesto Pinwheel,38,"Mill Hill, London",Builder
5,3,Diana Beard,7,IN,Rustic Picnic Rolls,Sharing Savoury Pinwheel,69,"Alkington, Shropshire",Women's Institute (WI) Judge
5,3,Chetna Makan,8,IN,Onion and Pine Nut Rolls,Rolled and Filled Twin Loaf,35,"Broadstairs, Kent",Fashion Designer
5,3,Iain Watters,9,IN,Cranberry and Walnut Rye Bread Rolls,Moroccan Plaited with a Bessara Dip,31,London/Belfast,Construction Engineer
5,3,Jordan Cox,10,OUT,Rye and Spelt Bread Rolls,Strawberry Raspberry Cheesecake Brioche,32,"Sneinton, Nottingham",IT Manager
5,3,Claire Goodwin,NA,NA,NA,NA,31,"Ashton upon Mersey, Trafford",Speech Therapist
5,3,Enwezor Nzegwu,NA,NA,NA,NA,39,"Portsmouth, Hampshire",Business Consultant
5,4,Martha Collison,1,IN,Peanut Butter Chocolate Fondants,Key Lime Baked Alaska,17,"Ascot, Berkshire",Student
5,4,Luis Troyano,2,IN,Pears in Puddings,Bakewell Alaska,42,"Poynton, Cheshire",Graphic Designer
5,4,Chetna Makan,3,IN,"Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska",35,"Broadstairs, Kent",Fashion Designer
5,4,Nancy Birtwhistle,4,IN,Pistachio Puddings with Chocolate Sauce,Summer Pudding Alaska,60,"Barton-upon-Humber, Lincolnshire",Retired Practice Manager
5,4,Richard Burr,5,STAR BAKER,Black Forest Chocolate Fondants,Tiramisu Baked Alaska,38,"Mill Hill, London",Builder
5,4,Iain Watters,6,OUT,"Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)",31,London/Belfast,Construction Engineer
5,4,Kate Henry,7,IN,Chocolate and Salted Caramel Molten Puddings,"Pistachio, Raspberry and Chocolate Baked Alaska",41,"Brighton, East Sussex",Furniture Restorer
5,4,Norman Calder,8,IN,Mini Sticky Toffee Puddings,Baked Alaska with Strawberry Surprise,66,"Portknockie, Moray",Retired Naval Officer
5,4,Diana Beard,9,IN,Orange and Lemon Curd Pots,Raspberry Ripple Alaska Swan,69,"Alkington, Shropshire",Women's Institute (WI) Judge
5,4,Claire Goodwin,NA,NA,NA,NA,31,"Ashton upon Mersey, Trafford",Speech Therapist
5,4,Enwezor Nzegwu,NA,NA,NA,NA,39,"Portsmouth, Hampshire",Business Consultant
5,4,Jordan Cox,NA,NA,NA,NA,32,"Sneinton, Nottingham",IT Manager
5,5,Martha Collison,1,IN,"Pistachio, Apricot and Honey Custard Tart",Three Little Pigs Pie,17,"Ascot, Berkshire",Student
5,5,Chetna Makan,2,IN,Rice Custard Tart with Mangoes and Raspberries,Fusion Tiered Pies,35,"Broadstairs, Kent",Fashion Designer
5,5,Kate Henry,3,STAR BAKER,Rhubarb and Custard Tart,"Rhubarb, Prune and Apple Pies",41,"Brighton, East Sussex",Furniture Restorer
5,5,Nancy Birtwhistle,4,IN,Chocolate Crusted Passion Fruit Tart,Trio of Apple Pies,60,"Barton-upon-Humber, Lincolnshire",Retired Practice Manager
5,5,Norman Calder,5,OUT,Tarte au Citron,Pieful Tower,66,"Portknockie, Moray",Retired Naval Officer
5,5,Luis Troyano,6,IN,Tropical Manchester Tart,Four Fruity Seasons Tower,42,"Poynton, Cheshire",Graphic Designer
5,5,Richard Burr,7,IN,Fig and Orange Tart,Three Course Autumn Pie Feast,38,"Mill Hill, London",Builder
5,5,Diana Beard,NA,WD,NA,NA,69,"Alkington, Shropshire",Women's Institute (WI) Judge
5,5,Claire Goodwin,NA,NA,NA,NA,31,"Ashton upon Mersey, Trafford",Speech Therapist
5,5,Enwezor Nzegwu,NA,NA,NA,NA,39,"Portsmouth, Hampshire",Business Consultant
5,5,Iain Watters,NA,NA,NA,NA,31,London/Belfast,Construction Engineer
5,5,Jordan Cox,NA,NA,NA,NA,32,"Sneinton, Nottingham",IT Manager
5,6,Nancy Birtwhistle,1,IN,Rum Punch Savarin with Coconut Cream and Tropical Fruits,Chocolate and Caramel Dobos Torte,60,"Barton-upon-Humber, Lincolnshire",Retired Practice Manager
5,6,Chetna Makan,2,STAR BAKER,Orange Savarin with Cinnamon Cream,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream,35,"Broadstairs, Kent",Fashion Designer
5,6,Luis Troyano,3,IN,Apple and Cinnamon Kugelhopf with Honeyed Apples,The Cage on the Rocky Hill,42,"Poynton, Cheshire",Graphic Designer
5,6,Martha Collison,4,IN,Dark Chocolate and Almond Liqueur Savarin,Chess-Themed Chocolate and Salted Caramel Dobos Torte,17,"Ascot, Berkshire",Student
5,6,Richard Burr,5,IN,Fruity Guglhupf with an Orange Glaze,Sugar Forest Dobos Torte,38,"Mill Hill, London",Builder
5,6,Kate Henry,6,IN,"Pecan, Chocolate and Sour Cherry Yeast Cake",Trio of Dobos Tortes,41,"Brighton, East Sussex",Furniture Restorer
5,6,Diana Beard,NA,IN,NA,NA,69,"Alkington, Shropshire",Women's Institute (WI) Judge
5,6,Claire Goodwin,NA,NA,NA,NA,31,"Ashton upon Mersey, Trafford",Speech Therapist
5,6,Enwezor Nzegwu,NA,NA,NA,NA,39,"Portsmouth, Hampshire",Business Consultant
5,6,Iain Watters,NA,NA,NA,NA,31,London/Belfast,Construction Engineer
5,6,Jordan Cox,NA,NA,NA,NA,32,"Sneinton, Nottingham",IT Manager
5,6,Norman Calder,NA,NA,NA,NA,66,"Portknockie, Moray",Retired Naval Officer
5,7,Richard Burr,1,STAR BAKER,Minted Lamb Pasties,"Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)",38,"Mill Hill, London",Builder
5,7,Nancy Birtwhistle,2,IN,Spicy Duck Pasties,Smoked Salmon and Horseradish & Raspberry Ripple Éclairs,60,"Barton-upon-Humber, Lincolnshire",Retired Practice Manager
5,7,Martha Collison,3,IN,Mini Beef Wellingtons,Rhubarb and Custard & Maple Syrup and Bacon Éclairs,17,"Ascot, Berkshire",Student
5,7,Kate Henry,4,OUT,Spinach and Paneer Spicy Samosa,Neapolitan & Lemon Meringue Éclairs,41,"Brighton, East Sussex",Furniture Restorer
5,7,Luis Troyano,5,IN,Childhood Empanadas,"Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)",42,"Poynton, Cheshire",Graphic Designer
5,7,Chetna Makan,6,IN,Crispy Lentil Kachori,Chocolate and Mango & Lemon Meringue Éclairs,35,"Broadstairs, Kent",Fashion Designer
5,7,Diana Beard,NA,IN,NA,NA,69,"Alkington, Shropshire",Women's Institute (WI) Judge
5,7,Claire Goodwin,NA,NA,NA,NA,31,"Ashton upon Mersey, Trafford",Speech Therapist
5,7,Enwezor Nzegwu,NA,NA,NA,NA,39,"Portsmouth, Hampshire",Business Consultant
5,7,Iain Watters,NA,NA,NA,NA,31,London/Belfast,Construction Engineer
5,7,Jordan Cox,NA,NA,NA,NA,32,"Sneinton, Nottingham",IT Manager
5,7,Norman Calder,NA,NA,NA,NA,66,"Portknockie, Moray",Retired Naval Officer
5,8,Chetna Makan,1,IN,Date and Walnut Swirl Bread,Chocolate Mousse Filled DoughnutsBraided Doughnuts,35,"Broadstairs, Kent",Fashion Designer
5,8,Luis Troyano,2,IN,Black Forest Cherry Tree,"Cocktail Doughnuts
(Mudslide & Raspberry Mojito)",42,"Poynton, Cheshire",Graphic Designer
5,8,Nancy Birtwhistle,3,IN,Lincolnshire Plum Braid,"Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)",60,"Barton-upon-Humber, Lincolnshire",Retired Practice Manager
5,8,Richard Burr,4,STAR BAKER,Fruit Swedish Tea Ring,Rhubarb and Custard and Toffee Apple Doughnuts,38,"Mill Hill, London",Builder
5,8,Martha Collison,5,OUT,Spiced Plum Iced Bread Swirl,Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts,17,"Ascot, Berkshire",Student
5,8,Diana Beard,NA,IN,NA,NA,69,"Alkington, Shropshire",Women's Institute (WI) Judge
5,8,Claire Goodwin,NA,NA,NA,NA,31,"Ashton upon Mersey, Trafford",Speech Therapist
5,8,Enwezor Nzegwu,NA,NA,NA,NA,39,"Portsmouth, Hampshire",Business Consultant
5,8,Iain Watters,NA,NA,NA,NA,31,London/Belfast,Construction Engineer
5,8,Jordan Cox,NA,NA,NA,NA,32,"Sneinton, Nottingham",IT Manager
5,8,Kate Henry,NA,NA,NA,NA,41,"Brighton, East Sussex",Furniture Restorer
5,8,Norman Calder,NA,NA,NA,NA,66,"Portknockie, Moray",Retired Naval Officer
5,9,Luis Troyano,1,IN,Indian Rose BaklavaHalwa Baklava Rolls,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges",42,"Poynton, Cheshire",Graphic Designer
5,9,Richard Burr,2,STAR BAKER,Rose and Pistachio BaklavaWalnut and Almond Baklava,Hazelnut Mocha EntremetsPink Grapefruit Entremets,38,"Mill Hill, London",Builder
5,9,Nancy Birtwhistle,3,IN,Coffee and Chocolate BaklavaBreakfast Baklava,Raspberry NonnettesLime and Passion Fruit Entremets,60,"Barton-upon-Humber, Lincolnshire",Retired Practice Manager
5,9,Chetna Makan,4,OUT,Chocolate Orange Baklava Masala Chai Baklava,"Chocolate, Orange & Nut EntremetsCappuccino Entremets",35,"Broadstairs, Kent",Fashion Designer
5,9,Diana Beard,NA,IN,NA,NA,69,"Alkington, Shropshire",Women's Institute (WI) Judge
5,9,Claire Goodwin,NA,NA,NA,NA,31,"Ashton upon Mersey, Trafford",Speech Therapist
5,9,Enwezor Nzegwu,NA,NA,NA,NA,39,"Portsmouth, Hampshire",Business Consultant
5,9,Iain Watters,NA,NA,NA,NA,31,London/Belfast,Construction Engineer
5,9,Jordan Cox,NA,NA,NA,NA,32,"Sneinton, Nottingham",IT Manager
5,9,Kate Henry,NA,NA,NA,NA,41,"Brighton, East Sussex",Furniture Restorer
5,9,Martha Collison,NA,NA,NA,NA,17,"Ascot, Berkshire",Student
5,9,Norman Calder,NA,NA,NA,NA,66,"Portknockie, Moray",Retired Naval Officer
5,10,Nancy Birtwhistle,1,WINNER,Apple and Lemon KitesRaspberry and Almond Croissants,Red Windmill,60,"Barton-upon-Humber, Lincolnshire",Retired Practice Manager
5,10,Luis Troyano,2,Runner-up,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",Village in Chocolate,42,"Poynton, Cheshire",Graphic Designer
5,10,Richard Burr,3,Runner-up,Pear Pain au ChocolatPain Au Lait,Mill on the Hill,38,"Mill Hill, London",Builder
5,10,Diana Beard,NA,IN,NA,NA,69,"Alkington, Shropshire",Women's Institute (WI) Judge
5,10,Chetna Makan,NA,NA,NA,NA,35,"Broadstairs, Kent",Fashion Designer
5,10,Claire Goodwin,NA,NA,NA,NA,31,"Ashton upon Mersey, Trafford",Speech Therapist
5,10,Enwezor Nzegwu,NA,NA,NA,NA,39,"Portsmouth, Hampshire",Business Consultant
5,10,Iain Watters,NA,NA,NA,NA,31,London/Belfast,Construction Engineer
5,10,Jordan Cox,NA,NA,NA,NA,32,"Sneinton, Nottingham",IT Manager
5,10,Kate Henry,NA,NA,NA,NA,41,"Brighton, East Sussex",Furniture Restorer
5,10,Martha Collison,NA,NA,NA,NA,17,"Ascot, Berkshire",Student
5,10,Norman Calder,NA,NA,NA,NA,66,"Portknockie, Moray",Retired Naval Officer
6,1,Ugnė Bubnaityte,1,IN,Lemon and Thyme Madeira Cake,Falling Cup Gâteau,32,"Woodford, London / Vilkaviškis, Lithuania",PA and administrator
6,1,Alvin Magallanes,2,IN,Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau,37,"Bracknell, Berkshire",Nurse
6,1,Marie Campbell,3,STAR BAKER,Zingy Citrus Madeira Cake,A Walk in the Black Forest,66,"Auchterarder, Perthshire",Retired
6,1,Tamal Ray,4,IN,Pistachio and Rose Madeira Cake,Black Forest Gâteau in a Chocolate Shell,29,Manchester,Trainee anaesthetist
6,1,Dorret Conway,5,IN,Madeira Cake with Candied Lemons,Enchanted Forest Gâteau,53,"Penwortham, Lancashire",Accountant
6,1,Flora Shedden,6,IN,Blood Orange Madeira Cake,Black Forest Gâteau,19,"Dunkeld, Perth and Kinross",Art gallery assistant
6,1,Mat Riley,7,IN,Gin and Tonic Madeira Cake,Black Forest Gateau,37,London,Fire fighter
6,1,Ian Cumming,8,IN,Somewhere West of Madeira Cake,Black Forest Cherry Tree,41,"Great Wilbraham, Cambridgeshire",Travel photographer
6,1,Sandy Docherty,9,IN,Madeira Cake with Almond Liqueur and Chopped Apricots,Black Forest Gâteau,49,"Yeadon, West Yorkshire",Child welfare officer
6,1,Paul Jagger,10,IN,"Lemon, Ginger and Caraway Seed Madeira Cake",Black Forest Chocolate Creation,49,"Swansea, Wales",Prison governor
6,1,Stu Henshall,11,OUT,Marley Madeira Cake,Purple Forest Gâteau,35,"Guildford, Surrey",Professional musician
6,1,Nadiya Hussain,12,IN,Orange and Green Cardamom Madeira Cake,Quadruple Chocolate Black Forest Gâteau,30,Leeds / Luton,Full-time mother
6,2,Dorret Conway,1,IN,Almond and Apricot Biscotti with Amber Sugar Crystals,Box of Frogs,53,"Penwortham, Lancashire",Accountant
6,2,Flora Shedden,2,IN,Wedding Biscotti,Honey and Earl Grey Tea Box,19,"Dunkeld, Perth and Kinross",Art gallery assistant
6,2,Ian Cumming,3,STAR BAKER,"Orange, Rosemary and Almond Biscotti",Sandwich de la Confiture,41,"Great Wilbraham, Cambridgeshire",Travel photographer
6,2,Sandy Docherty,4,IN,Chocolate Chunk and Hazelnut Biscotti,Sundried Tomato Cheese Biscuit Box,49,"Yeadon, West Yorkshire",Child welfare officer
6,2,Mat Riley,5,IN,"Pistachio, Cranberry and White Chocolate Biscotti",Gingerbread Fire Engine,37,London,Fire fighter
6,2,Alvin Magallanes,6,IN,"Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps,37,"Bracknell, Berkshire",Nurse
6,2,Ugnė Bubnaityte,7,IN,White Wine Biscotti,Baby Climbing into the Cookie Box,32,"Woodford, London / Vilkaviškis, Lithuania",PA and administrator
6,2,Tamal Ray,8,IN,"Cinnamon, Maple and Cranberry Biscotti",Chessboard Box,29,Manchester,Trainee anaesthetist
6,2,Nadiya Hussain,9,IN,"Coconut, Fennel and Pistachio Biscotti",Box of Fortunes,30,Leeds / Luton,Full-time mother
6,2,Paul Jagger,10,IN,"Chocolate, Hazelnut and Fig Biscotti",Memory Box,49,"Swansea, Wales",Prison governor
6,2,Marie Campbell,11,OUT,Biscotti Italiano,Russian Box,66,"Auchterarder, Perthshire",Retired
6,2,Stu Henshall,NA,NA,NA,NA,35,"Guildford, Surrey",Professional musician
6,3,Ian Cumming,1,STAR BAKER,Wild Garlic Pesto Soda Breads,Flour Power,41,"Great Wilbraham, Cambridgeshire",Travel photographer
6,3,Flora Shedden,2,IN,Fig and Hazelnut Rye Breads,Herb Couture,19,"Dunkeld, Perth and Kinross",Art gallery assistant
6,3,Tamal Ray,3,IN,"Fig, Cheese and Walnut Breads",Breadcycle,29,Manchester,Trainee anaesthetist
6,3,Alvin Magallanes,4,IN,"Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia,37,"Bracknell, Berkshire",Nurse
6,3,Ugnė Bubnaityte,5,IN,Chocolate Quick Breads with Salted Caramel Sauce,Easter Basket,32,"Woodford, London / Vilkaviškis, Lithuania",PA and administrator
6,3,Dorret Conway,6,OUT,Walnut and Stilton Soda Breads,Unmade Bread,53,"Penwortham, Lancashire",Accountant
6,3,Sandy Docherty,7,IN,Soda Breads with Smoked Bacon and Onion,Basket of Bread Flowers with a Walnut and Blue Cheese Centre,49,"Yeadon, West Yorkshire",Child welfare officer
6,3,Mat Riley,8,IN,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",Curry Inspired Brighton Pavilion,37,London,Fire fighter
6,3,Nadiya Hussain,9,IN,Mexican Bread with Warm Tomato Salsa,Snake Charmer's Basket,30,Leeds / Luton,Full-time mother
6,3,Paul Jagger,10,IN,Cranberry and Orange Sweet Soda Breads,King of the Jungle,49,"Swansea, Wales",Prison governor
6,3,Marie Campbell,NA,NA,NA,NA,66,"Auchterarder, Perthshire",Retired
6,3,Stu Henshall,NA,NA,NA,NA,35,"Guildford, Surrey",Professional musician
6,4,Paul Jagger,1,IN,Almond Crème Brûlées,Berry Cheesecake Tower,49,"Swansea, Wales",Prison governor
6,4,Ugnė Bubnaityte,2,IN,Marula Fruit and Coffee Liqueur Crème Brûlées,"Lime, Coconut and Hazelnut Cheesecakes",32,"Woodford, London / Vilkaviškis, Lithuania",PA and administrator
6,4,Flora Shedden,3,IN,Rhubarb and Ginger Crème Brûlées,Elderflower and Granola Cheesecakes,19,"Dunkeld, Perth and Kinross",Art gallery assistant
6,4,Ian Cumming,4,STAR BAKER,Pomegranate Two Ways Crème Brûlées,Trio of Spicy and Herby Baked Cheesecakes,41,"Great Wilbraham, Cambridgeshire",Travel photographer
6,4,Tamal Ray,5,IN,Rhubarb and Ginger Crème Brûlées,"Mango, Hazelnut and Rosemary Cheesecake Trio",29,Manchester,Trainee anaesthetist
6,4,Sandy Docherty,6,OUT,Pontefract Crème Brûlées,"Cassata, Whisky and Orange & Apple Pie Cheesecakes",49,"Yeadon, West Yorkshire",Child welfare officer
6,4,Mat Riley,7,IN,Coconut Crème Brûlées,Chocolate Bar Cheesecakes,37,London,Fire fighter
6,4,Nadiya Hussain,8,IN,Cinnamon Tea Crème Brûlées,Fizzy Pop Cheesecakes,30,Leeds / Luton,Full-time mother
6,4,Alvin Magallanes,9,IN,Blackberry Crème Brûlées,Tower of Fruits Cheesecakes,37,"Bracknell, Berkshire",Nurse
6,4,Dorret Conway,NA,NA,NA,NA,53,"Penwortham, Lancashire",Accountant
6,4,Marie Campbell,NA,NA,NA,NA,66,"Auchterarder, Perthshire",Retired
6,4,Stu Henshall,NA,NA,NA,NA,35,"Guildford, Surrey",Professional musician
6,5,Nadiya Hussain,1,STAR BAKER,Naked Blueberry and Caraway Crunch Cake,Chocolate and Strawberry Lime Ice Cream Roll,30,Leeds / Luton,Full-time mother
6,5,Paul Jagger,2,IN,Carrot & Pecan Cake,Dessert Island Getaway,49,"Swansea, Wales",Prison governor
6,5,Flora Shedden,3,IN,"Pistachio, Apple and Cardamom Madeleine Cake",Chocolate and Pear Bûche,19,"Dunkeld, Perth and Kinross",Art gallery assistant
6,5,Mat Riley,4,IN,Sugar Free Carrot Cake,Raspberry and Coconut Ice Cream Roll,37,London,Fire fighter
6,5,Ian Cumming,5,IN,Honey and Flowers Cake,Dessert Island,41,"Great Wilbraham, Cambridgeshire",Travel photographer
6,5,Ugnė Bubnaityte,6,OUT,Chocolate and Hazelnut Sugar-Free Cake,"Chocolate, Peanut Butter and Grape Jam Roll",32,"Woodford, London / Vilkaviškis, Lithuania",PA and administrator
6,5,Tamal Ray,7,IN,Honey and Grapefruit Polenta Cake,Passion Fruit and Pineapple Ice Cream Roll,29,Manchester,Trainee anaesthetist
6,5,Alvin Magallanes,8,IN,Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll",37,"Bracknell, Berkshire",Nurse
6,5,Dorret Conway,NA,NA,NA,NA,53,"Penwortham, Lancashire",Accountant
6,5,Marie Campbell,NA,NA,NA,NA,66,"Auchterarder, Perthshire",Retired
6,5,Sandy Docherty,NA,NA,NA,NA,49,"Yeadon, West Yorkshire",Child welfare officer
6,5,Stu Henshall,NA,NA,NA,NA,35,"Guildford, Surrey",Professional musician
6,6,Mat Riley,1,STAR BAKER,Piña Colada Frangipane Tart,His 'n' Hers Vol-au-vents,37,London,Fire fighter
6,6,Flora Shedden,2,IN,Apricot and Rosemary Frangipane Tart,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents,19,"Dunkeld, Perth and Kinross",Art gallery assistant
6,6,Ian Cumming,3,IN,Pear and Raspberry Frangipane Tart,vol-au-vents Terre et Mer,41,"Great Wilbraham, Cambridgeshire",Travel photographer
6,6,Nadiya Hussain,4,IN,"Bay Leaf, Rong Tea and Pear Tart",Bengali Korma and Clementine with Cod Vol-au-vents,30,Leeds / Luton,Full-time mother
6,6,Paul Jagger,5,IN,Christmas Frangipane Tart,Savoury and Sweet Bouchées,49,"Swansea, Wales",Prison governor
6,6,Alvin Magallanes,6,OUT,Plum Frangipane Tart,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents,37,"Bracknell, Berkshire",Nurse
6,6,Tamal Ray,7,IN,Spiced Pear Frangipane Tart,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents,29,Manchester,Trainee anaesthetist
6,6,Dorret Conway,NA,NA,NA,NA,53,"Penwortham, Lancashire",Accountant
6,6,Marie Campbell,NA,NA,NA,NA,66,"Auchterarder, Perthshire",Retired
6,6,Sandy Docherty,NA,NA,NA,NA,49,"Yeadon, West Yorkshire",Child welfare officer
6,6,Stu Henshall,NA,NA,NA,NA,35,"Guildford, Surrey",Professional musician
6,6,Ugnė Bubnaityte,NA,NA,NA,NA,32,"Woodford, London / Vilkaviškis, Lithuania",PA and administrator
6,7,Nadiya Hussain,1,IN,Aromatic Raised Game Pie,Mango and Raspberry Charlotte Russe,30,Leeds / Luton,Full-time mother
6,7,Paul Jagger,2,IN,Not a Boaring Pie,Charlotte Rose,49,"Swansea, Wales",Prison governor
6,7,Tamal Ray,3,STAR BAKER,Middle Eastern Game Pie,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe",29,Manchester,Trainee anaesthetist
6,7,Flora Shedden,4,IN,Game Pie with Shallot and Apple Chutney,"Raspberry, Pomegranate and Champagne Charlotte Russe",19,"Dunkeld, Perth and Kinross",Art gallery assistant
6,7,Ian Cumming,5,IN,Roadkill Pie,Victoria's Crown Charlotte Russe,41,"Great Wilbraham, Cambridgeshire",Travel photographer
6,7,Mat Riley,6,OUT,Raised Venison and Pigeon Pie,Strawberry Charlotte Russe,37,London,Fire fighter
6,7,Alvin Magallanes,NA,NA,NA,NA,37,"Bracknell, Berkshire",Nurse
6,7,Dorret Conway,NA,NA,NA,NA,53,"Penwortham, Lancashire",Accountant
6,7,Marie Campbell,NA,NA,NA,NA,66,"Auchterarder, Perthshire",Retired
6,7,Sandy Docherty,NA,NA,NA,NA,49,"Yeadon, West Yorkshire",Child welfare officer
6,7,Stu Henshall,NA,NA,NA,NA,35,"Guildford, Surrey",Professional musician
6,7,Ugnė Bubnaityte,NA,NA,NA,NA,32,"Woodford, London / Vilkaviškis, Lithuania",PA and administrator
6,8,Nadiya Hussain,1,STAR BAKER,Rose Pistachio and Mocha Hazelnut Horns,Bubble Gum and Peppermint Cream Religieuse à l'ancienne,30,Leeds / Luton,Full-time mother
6,8,Ian Cumming,2,IN,Mont Blanc & Black Forest Gâteau Horns,Nun with Hidden Passions,41,"Great Wilbraham, Cambridgeshire",Travel photographer
6,8,Flora Shedden,3,IN,Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne,19,"Dunkeld, Perth and Kinross",Art gallery assistant
6,8,Tamal Ray,4,IN,Lime & Mascarpone and Malt Cream Horns,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne,29,Manchester,Trainee anaesthetist
6,8,Paul Jagger,5,OUT,Café Tipple & Banana Crunch-away Horns,Religieuse à l'ancienne,49,"Swansea, Wales",Prison governor
6,8,Alvin Magallanes,NA,NA,NA,NA,37,"Bracknell, Berkshire",Nurse
6,8,Dorret Conway,NA,NA,NA,NA,53,"Penwortham, Lancashire",Accountant
6,8,Marie Campbell,NA,NA,NA,NA,66,"Auchterarder, Perthshire",Retired
6,8,Mat Riley,NA,NA,NA,NA,37,London,Fire fighter
6,8,Sandy Docherty,NA,NA,NA,NA,49,"Yeadon, West Yorkshire",Child welfare officer
6,8,Stu Henshall,NA,NA,NA,NA,35,"Guildford, Surrey",Professional musician
6,8,Ugnė Bubnaityte,NA,NA,NA,NA,32,"Woodford, London / Vilkaviškis, Lithuania",PA and administrator
6,9,Flora Shedden,1,OUT,Passion Fruit and Chocolate Tart,Cocoa Carousel,19,"Dunkeld, Perth and Kinross",Art gallery assistant
6,9,Tamal Ray,2,IN,Chocolate New York Pie,Chocolate Bell Tower,29,Manchester,Trainee anaesthetist
6,9,Ian Cumming,3,IN,Chocolate and Bay Tart,Chocolate Well,41,"Great Wilbraham, Cambridgeshire",Travel photographer
6,9,Nadiya Hussain,4,STAR BAKER,Peanut Salted Caramel and Chocolate Tart,Peacock in Nan's Door,30,Leeds / Luton,Full-time mother
6,9,Alvin Magallanes,NA,NA,NA,NA,37,"Bracknell, Berkshire",Nurse
6,9,Dorret Conway,NA,NA,NA,NA,53,"Penwortham, Lancashire",Accountant
6,9,Marie Campbell,NA,NA,NA,NA,66,"Auchterarder, Perthshire",Retired
6,9,Mat Riley,NA,NA,NA,NA,37,London,Fire fighter
6,9,Paul Jagger,NA,NA,NA,NA,49,"Swansea, Wales",Prison governor
6,9,Sandy Docherty,NA,NA,NA,NA,49,"Yeadon, West Yorkshire",Child welfare officer
6,9,Stu Henshall,NA,NA,NA,NA,35,"Guildford, Surrey",Professional musician
